hidden_size,pooling_type,optimizer,epochs,best_loss,accuracy
32,max,SGD,5,1.2210773229599,0.5716029602502479
32,max,SGD,50,1.1870537996292114,0.6299687190051118
32,max,SGD,100,1.046991229057312,0.5756466010528725
32,max,SGD,250,0.7735631465911865,0.7043564507515069
32,max,SGD,350,0.5810091495513916,0.7656977187762265
32,max,RMSprop,5,0.4850505292415619,0.6725413900968948
32,max,RMSprop,50,0.09293852001428604,0.987335011825742
32,max,RMSprop,100,0.07614247500896454,0.9845120927748532
32,max,RMSprop,250,0.08972025662660599,0.9730678263523308
32,max,RMSprop,350,0.07336258143186569,0.9822232394903486
32,max,Adam,5,0.8080517649650574,0.7313649195086595
32,max,Adam,50,0.08882702887058258,0.9806210421911955
32,max,Adam,100,0.060202401131391525,0.9882505531395438
32,max,Adam,250,0.03778141736984253,0.9906919966430152
32,max,Adam,350,0.034498732537031174,0.99145494773785
32,avg,SGD,5,1.2860716581344604,0.5645075150682841
32,avg,SGD,50,1.1960283517837524,0.5721370260166323
32,avg,SGD,100,1.0449258089065552,0.5960173952849622
32,avg,SGD,250,0.7665717601776123,0.7310597390707255
32,avg,SGD,350,0.5684903860092163,0.7615777828641184
32,avg,RMSprop,5,0.387016624212265,0.7524223697261005
32,avg,RMSprop,50,0.09196970611810684,0.9645227740901808
32,avg,RMSprop,100,0.07263263314962387,0.9858091096360724
32,avg,RMSprop,250,0.07563856989145279,0.9745937285420004
32,avg,RMSprop,350,0.09226061403751373,0.971999694819562
32,avg,Adam,5,0.7707918882369995,0.727168688487068
32,avg,Adam,50,0.08740465342998505,0.982757305256733
32,avg,Adam,100,0.0720900371670723,0.9868009460593576
32,avg,Adam,250,0.03760995343327522,0.9903868162050813
32,avg,Adam,350,0.03461577743291855,0.9916838330663005
64,max,SGD,5,1.375425100326538,0.07476920729381246
64,max,SGD,50,1.1392418146133423,0.5722133211261158
64,max,SGD,100,0.9943539500236511,0.588387884336614
64,max,SGD,250,0.6882823705673218,0.744258793011368
64,max,SGD,350,0.49255821108818054,0.7685969329365988
64,max,RMSprop,5,0.3393986225128174,0.7058823529411765
64,max,RMSprop,50,0.08718621730804443,0.9676508735790036
64,max,RMSprop,100,0.06723888963460922,0.9824521248187991
64,max,RMSprop,250,0.05770627409219742,0.9900816357671474
64,max,RMSprop,350,0.06633047759532928,0.9848172732127871
64,max,Adam,5,0.5311887264251709,0.7299916075379568
64,max,Adam,50,0.07164386659860611,0.9863431754024568
64,max,Adam,100,0.05521046370267868,0.9888609140154117
64,max,Adam,250,0.036580294370651245,0.9907682917524987
64,max,Adam,350,0.03461329638957977,0.7957579919127183
64,avg,SGD,5,1.3755757808685303,0.2507820248722057
64,avg,SGD,50,1.2035545110702515,0.5872434576943618
64,avg,SGD,100,0.9886423945426941,0.6138704509040971
64,avg,SGD,250,0.675238311290741,0.7477683680476082
64,avg,SGD,350,0.511069655418396,0.7649347676813916
64,avg,RMSprop,5,0.5219051837921143,0.7631799801632715
64,avg,RMSprop,50,0.08046742528676987,0.9865720607309072
64,avg,RMSprop,100,0.07639289647340775,0.9821469443808651
64,avg,RMSprop,250,0.04967936500906944,0.989547570000763
64,avg,RMSprop,350,0.07047981768846512,0.9877927824826429
64,avg,Adam,5,0.46955937147140503,0.7634088654917219
64,avg,Adam,50,0.07264476269483566,0.9857328145265889
64,avg,Adam,100,0.046854909509420395,0.9890897993438621
64,avg,Adam,250,0.03594142198562622,0.9911497672999161
64,avg,Adam,350,0.03373343124985695,0.9919127183947509
128,max,SGD,5,1.3302698135375977,0.6205844205386435
128,max,SGD,50,1.145592212677002,0.575265125505455
128,max,SGD,100,0.9912218451499939,0.6012817578393225
128,max,SGD,250,0.6244471073150635,0.7566948958571755
128,max,SGD,350,0.4705105721950531,0.7704280155642024
128,max,RMSprop,5,0.5977720618247986,0.8200198367284657
128,max,RMSprop,50,0.07481952011585236,0.9890897993438621
128,max,RMSprop,100,0.07589296251535416,0.9818417639429312
128,max,RMSprop,250,0.06950988620519638,0.9712367437247272
128,max,RMSprop,350,0.06123093143105507,0.9860379949645228
128,max,Adam,5,0.2877131402492523,0.8929579613946746
128,max,Adam,50,0.06333355605602264,0.9881742580300603
128,max,Adam,100,0.043306395411491394,0.9900053406576639
128,max,Adam,250,0.035749394446611404,0.966124971389334
128,max,Adam,350,0.033792804926633835,0.9736018921187152
128,avg,SGD,5,1.3414361476898193,0.5694666971847104
128,avg,SGD,50,1.1454085111618042,0.5959411001754787
128,avg,SGD,100,0.9737293720245361,0.5957885099565118
128,avg,SGD,250,0.5847904682159424,0.7639429312581063
128,avg,SGD,350,0.475948303937912,0.8192568856336309
128,avg,RMSprop,5,0.5361202359199524,0.8442053864347295
128,avg,RMSprop,50,0.06571315228939056,0.9859616998550393
128,avg,RMSprop,100,0.09082131087779999,0.9759670405127031
128,avg,RMSprop,250,0.04886418581008911,0.9898527504386969
128,avg,RMSprop,350,0.09728486835956573,0.9757381551842527
128,avg,Adam,5,0.2767944931983948,0.8962386511024644
128,avg,Adam,50,0.0699709951877594,0.9884031433585108
128,avg,Adam,100,0.04452657327055931,0.9896238651102465
128,avg,Adam,250,0.03517339751124382,0.9582665751125353
128,avg,Adam,350,0.03552280366420746,0.9720759899290455
